country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
India,Haryana,0,4402448,4402448,4402448,9788,42,56,60,116,118,101,174,107,133,100,45,110,52,30,0,3,1,8,42,16,18,9,196
India,Haryana,10,4402448,50010,50460,9788,26,17,18,56,30,47,51,30,56,43,20,52,3,2,0,1,0,0,9,3,2,1,16
India,Haryana,15,4402448,47675,45504,9788,26,16,18,54,29,46,49,29,54,41,19,50,3,2,0,1,0,0,8,2,2,1,15
India,Haryana,20,4402448,46391,44883,9788,25,16,16,51,25,43,44,25,52,40,19,49,2,2,0,1,0,0,7,2,2,1,14
India,Haryana,25,4402448,44665,43453,9788,25,15,16,51,24,43,44,25,52,40,18,49,2,2,0,1,0,0,7,2,2,1,14
India,Haryana,30,4402448,42647,40007,9788,25,15,16,50,24,42,44,25,51,40,18,48,2,2,0,1,0,0,7,2,2,1,13
India,Haryana,50,4402448,33018,28437,9788,20,9,11,40,16,30,29,17,43,33,12,41,1,1,0,1,0,0,6,1,2,1,7
India,Haryana,75,4402448,16610,12038,9788,14,5,4,26,8,15,13,9,31,20,8,23,1,1,0,0,0,0,3,1,1,0,4
India,Himachal Pradesh,0,5560349,5560349,5560349,42350,365,362,96,751,360,230,393,280,460,242,63,760,105,84,28,20,108,225,263,119,197,305,700
India,Himachal Pradesh,10,5560349,1554236,1386813,42350,352,344,89,727,339,210,368,263,438,224,55,732,74,62,18,16,87,187,180,82,136,218,366
India,Himachal Pradesh,15,5560349,1479500,1277760,42350,350,342,89,723,336,207,364,261,435,222,54,726,71,60,17,16,86,183,173,78,131,212,349
